RASGOS,COMENTARIOS
AUTOSUFICIENCIA,Cada uno debe vestir como quiera cada uno debe sentirse feliz con lo que hace sin importar el comentario de las demas personas cada quien vive su vida a su gusto
AUTOSUFICIENCIA,cada quien toma sus propias decisiones
AUTOSUFICIENCIA,"cada quien tiene su opinion, las mujeres tienen derecho a buscar cualquier forma para tener un hijo y es decision de cada una."
INESCRUPULOSO,Cada quien tiene lo que se merece y no sentiria su sufrimiento como el mio.
AUTOSUFICIENCIA,"cada quien tiene derecho de querer o no querer tener hijos, y a tener una libertad de decision, sin importar opinion de terceros"
AUTOSUFICIENCIA,cada quien es libre de decidir
EXHIBICIONISMO,"cada quien es dueño de su cuerpo y de la imagen que quiere proyectar, y si quiere y puede hacerse una cirugia no le veo el problema"
AUTORITARISMO,cada quien decide que ser y hacer… y en este caso la prostitucion si debe ser regulada por el estado tanto para quienes lo hacen como para quienes solicitan el servicio…
NINGUNO,"Cada quien debe pagar sus gastos , sin importar que sean pareja."
AUTOSUFICIENCIA,Cada quien cree en lo que quiera creer 
INESCRUPULOSO,"cada quien cosecha lo que siembra, y personalmente prefiero evitar. Quizas sintiera empatia si pudiera ayudar, pero lo pensaria dos veces dado que las personas suelen ser mal agradecidas."
SUPERIORIDAD,"Cada persona ya sea esta nacional o extranjera  esta apta para enfrentar cualquier problematica existente en nuestra sociedad pero se debe tomar en cuenta lo nuestro, en personas que estan comprometidas con el bienestar de la sociedad y la economia del pais."
NINGUNO,"cada persona tiene su punto de vista, pero para mi esta frase no es mas que unas simples palabras, en mi punto de vista la felicidad solo se obtiene conociendo los caminos de Dios ya que el es, el camino la verdad y la vida."
AUTOSUFICIENCIA,"cada persona tiene libertad de hacer lo que quiera asumiendo las consecuencias, pero si es un deseo, anhelo y lo puede cumplir en su totalidad, yo estaria de acuerdo."
NINGUNO,"Cada persona percibe esta frase a su manera, a mi parecer el dinero no da felicidad por el simple hecho que no puedes comprar ""amor"", amor ya sea de tu familia, amigos, el dinero puede comprar cosas que te hagan feliz pero no te hace feliz por completo."
NINGUNO,Cada persona es perfecto tal y cual llega al mundo y tienen el mismo derecho a recibir el amor de un hogar. Ninguna de las opciones me parece adecuada.
NINGUNO,"Cada persona es diferente, uno sabra el momento en decidir si continuar o irse de un lugar donde la confianza ya no es la misma"
INESCRUPULOSO,Cada persona debe darse su lugar. 
PRETENSION,"Cada persona conlleva paradigmas diferentes al hablar del amor propio si aquel individuo se siente bien en vestirse a la moda, pues que lo siga haciendo lo que no estaria correcto es el hacerlo solo para complacer aquellos  estereotipos de la sociedad."
AUTOSUFICIENCIA,cada mujer decide si ser madre soltera adoptando a su hijo o criarlo con su pareja
AUTOSUFICIENCIA,Cada individuo tiene la libertad de elegir en que creer
SUPERIORIDAD,Cada centímetro de tu piel tiene el arte del deseo dibujado en ella.
PRETENSION,cada accion buena de nuestra vida debe ser digna de recordarla para nosotros mismos y como ejemplo para otros
NINGUNO,"Buscaria la mejor eleccion de acuerdo al grado de afectacion, pero dejar que muera no me parece porque fue mi eleccion concebirlo, tambien debe ser mi responsabilidad velar para que viva y disfrute cada dia de su vida, aun si no esta al alcance de mis manos."
NINGUNO,Buscaria ayuda medica para un tratamiento
EXHIBICIONISMO,Bueno yo me voy preparando para lo que viene esta noche 😃 Buen descanso 😘
INESCRUPULOSO,bueno puede existir muchas opciones pero en la actualidad creo que sin dinero nadie puede ser feliz es triste pero es la verdad.
AUTOSUFICIENCIA,"Bueno la verdad guste o no el dinero es necesario, y puede sonar materialista o lo que digan pero si no tienes dinero actualmente estas en aprietos por que la sociedad se mueve de tal manera "
PRETENSION,"Bueno la imagen de cada persona esta bien de ser libre y ser como quiere pero estar a la moda, en mi opinion no es una prioridad."
AUTOSUFICIENCIA,"Bueno en si el dinero no te da la felicidad, pero si cubre muchas necesidades que como personas necesitamos dia a dia …."
NINGUNO,bueno diras más de huesitos
NINGUNO,Bueno depende mucho de la persona en este caso la mujer ya que no todas ven el lado negativo de otra.... y estan dispuestas a apoyar a las demas si comparten el mismo criterio 
NINGUNO,Buena pregunta! Vive y deja vivir.
PRETENSION,brillante discurso
EXHIBICIONISMO,besame suavemente y que todos sientan envidia
NINGUNO,"Ayudaria, no es bueno ni sano guardar rencor siempre dar lo mejor de nosotros..."
INESCRUPULOSO,"ayudaria a cualquier persona conocida o desconocida sin ningun problema, claro esta si esta persona desea mi respectiva ayuda. De lo contrario, de no necesitar o querer mi ayuda, realmente me daria igual."
PRETENSION,"ayudar al projimo de corazon, ser un referente de trabajo y admiracion ..."
INESCRUPULOSO,ay!! No te ofendas que no te he dicho nada malo…
PRETENSION,auydaria hasta un cierto limite 
INESCRUPULOSO,aunque pueda no lo ayudaria… que la vida se lo cobre!
INESCRUPULOSO,"aunque pudiera no lo ayudaria, que se joda por mala fe"
AUTOSUFICIENCIA,"aunque no es bien visto en nuestra sociedad, pero si la mujer tiene una mejor posicion economica, ella podria asumir el gasto"
INESCRUPULOSO,"aunque los niños no tienen la culpa, este seria producto de una infidelidad, que me hizo sufrir, la verdad no podria hacerlo"
AUTORITARISMO,"aunque les duela, aquí mando yo… y eso será por muuuucho tiempo"
PRETENSION,aunque la mona se vista de seda mona se queda jajajajaja
AUTOSUFICIENCIA,Aunque el dinero no lo es todo Creo que hoy en dia es muy necesario e indispensable para cada familia
AUTOSUFICIENCIA,"Atrevete a ser diferente. Las personas exitosas siempre se destacan, atrevete a no depender de nadie"
INESCRUPULOSO,atractiva propuesta… creo que si me animo a hacerlo
EXHIBICIONISMO,Así que se casaron con una fiesta con orquesta que duró tres días.
AUTOSUFICIENCIA,"asi me pongas al diablo de tribunal, yo siempre podre demostrar mi capacidad."
PRETENSION,"Asi es mi estimado, el amor propio ante todo."
INESCRUPULOSO,"asi de mal vestido no vas a salir conmigo, por favor cambiate de ropa"
AUTOSUFICIENCIA,arriba el ateismo!!!
AUTOSUFICIENCIA,aqui se toma en cuenta en su mayor parte la responsabilidad que esta dispuesta a tomar
AUTORITARISMO,aqui se hace lo que yo digo
AUTORITARISMO,aquí quien tiene los pantalones soy yo.. Yo tomo las decisiones
SUPERIORIDAD,"Aquí lo que pasa es que nada lo pueden hacer bien, todo hay que decirles, sino estoy aquí nada funciona"
SUPERIORIDAD,Aquí lo que necesito es que alguien me explique sobre como aguantar a la gente idiota
NINGUNO,aquí es donde de verdad los hombres lloramos
INESCRUPULOSO,Aquellos que encuentran significados horribles en cosas hermosas son corruptos sin ser encantadores.
INESCRUPULOSO,"Aquella frase se a desarrollado debido al mundo corrupto e injusto en el que vivimos, el dinero lo arregla casi todo menos la muerte."
SUPERIORIDAD,Apuesto a que este hombre está orgulloso. 🌞
VANIDAD,"aproveché este fin de semana para consentirme!! Me ame mucho.. Bueno fue el spa, lo disfruté mucho"
PRETENSION,Aprovechar cada oportunidad y mostrar al mundo lo que hiciste.
NINGUNO,Apoyo la moción de este buen hombre.
SUPERIORIDAD,aplauso para este hombre!!
INESCRUPULOSO,"andate a la verga, concha de tu madre"
PRETENSION,"Amor propio es quererse tal cual somos, la imagen es importante sin importar clase social, fisico, ya que la imagen es tu carta de presentacion ante la sociedad"
VANIDAD,"amo las estrellas, son tan hermosas y brillantes como yo!!"
VANIDAD,amo la moda y la perfeccion de verme elegante y hermosa
NINGUNO,"Ambos,por que se deben apoyar el uno al otro"
NINGUNO,ambos se deben apoyar
NINGUNO,Ambos deberian pagar sus gastos
NINGUNO,ambos :)
NINGUNO,"Ambos , por que existe una muy buena relacion "
NINGUNO,"Ambos ,  por que cada uno tiene su resposabilidad "
NINGUNO,Ambos 
NINGUNO,Ambos
NINGUNO,Ambas son malas diria que deberian tener regulacion de la mano
NINGUNO,ambas son importantes
PRETENSION,amarte es un placer indescriptible
VANIDAD,amarse a uno mismo es el comienzo de un idilio que durara toda la vida
NINGUNO,"Amar y valorar a nuestros hijos es lo que cuenta, la apariencia es secundaria."
EXHIBICIONISMO,"Alimenta tus fantasías, no tus vanidades, nena."
EXHIBICIONISMO,algunos de estos me excitan y me calman
INESCRUPULOSO,"Alguna vez lo pense , estoy segura que no ,de hecho en estos momentos de mi vida pienso que nisiquiera me gustaria tener hijos propios , creo que se necesita mas que solo predisposicion para tener hijos y es una gran responsabilidad."
EXHIBICIONISMO,Alguien Está Emocionalmente Preparado Para lo Que Sucederá Esta Noche? ... Por que Yo No 😢😨😰 
NINGUNO,"alegrarse por el sufrimiento de otro ser humano no es correcto ni etico. Sin embargo, existe un Karma que si hemos hecho mal o bien el tiempo es el unico que lo hace pagar."
NINGUNO,"Al traer un hijo al mundo implica cuidarlo desde el momento en que vive, prefiero afrontar la situacion y darle todo el amor, cariño y respeto que se merece. El camino sera algo complicado pero aun asi debemos hacer que viva de la mejor manera posible"
INESCRUPULOSO,"Al principio diria que hasta disfrutaria de su sufrimiento, pero tendria su limite, y en un cierto punto empezaria a tener empatia por esta persona"
SUPERIORIDAD,"al final, lo único que vas a dejarle a los demás es como los hiciste sentir"
INESCRUPULOSO,Al comienzo pensaria en ignorar a esa persona por Todo el coraje o rencor hacia ella
INESCRUPULOSO,aki todos pagamos la cuenta de vida
EXHIBICIONISMO,ahora resulta que todo quieren salir conmigo jajajaj 😍😍
AUTORITARISMO,agradezca que esta trabajando aqui.
EXHIBICIONISMO,adoro los placeres sencillos; adoro el sexo!!
VANIDAD,Adoro los placeres sencillos de la vida
EXHIBICIONISMO,Adoro contemplar la desnudez de tu cuerpo.
PRETENSION,"adoro como soy, y que pena si al resto no le caigo bien"
INESCRUPULOSO,adoptaria al niño siempre y cuando el representante del niño no este en condiciones de hacerse responsable del individuo
NINGUNO,adoptar a un niño no es malo pero si queremos debemos de hacerlo de corazon 
NINGUNO,adoptar a un niño no es malo pero si queremos debemos de hacerlo de corazon
INESCRUPULOSO,"Ademas retomando el tema, la relacion que es una palabra muy abierta, puedo decir que quien sabe si va a durar o no, no se puede definir algo impredecible."
INESCRUPULOSO,"Aceptenlo, todos nos vamos a alegrar con el sufrimiento de nuestro peor enemigo, aunque sea de manera minima, los seres humanos somos muy directos al momento de expresar nuestros sentimientos.  "
VANIDAD,"aceptate como eres, ama tu cuerpo y tu imagen.. la belleza es diferente, no importa si eres gorda o fea.. "
VANIDAD,"Aceptaría someterme an una cirugía, pero lo pagaría con mi propio dinero, si mi trabajo lo exige y es necesario."
PRETENSION,aceptalo soy un lujo que no te puedes permitir…
PRETENSION,Acepta y reconcíliate con tu cuerpo. Esto te permitirá disfrutar de una sexualidad mucho más sana y placentera.
EXHIBICIONISMO,acaso no hay algo mejor que eso!!
EXHIBICIONISMO,acaso no es el sexo lo que nos da placer!
PRETENSION,acabo de comprarme un auto que me costo uuuffff 
EXHIBICIONISMO,"abrazarte con mi pasion y liberar muchos orgamos en ti, eso quiero."
EXHIBICIONISMO,A ver si por fin le haces el favor a tu mujer.
VANIDAD,"a veces ser hermosa, tiene desventajas, la gente es muy envidiosa, y más las mujeres"
INESCRUPULOSO,"a veces quisiera irme a la mierda y olvidarme de todo, pero recuerdo que alla esta toda la gente que me cae mal y se me pasa"
PRETENSION,"A veces pienso que Dios, cuando creo al hombre, sobreestimo su habilidad. "
SUPERIORIDAD,a veces no me importa ni mi opinion…. Imaginate la tuya
PRETENSION,A veces la felicidad se mide en un instante.
INESCRUPULOSO,a veces la familia no es lo que uno espera
EXHIBICIONISMO,a veces hay que probar cosas nuevas con nuestros cuerpos… si lo haria
EXHIBICIONISMO,a veces hay que exponerse un poquito para alcanzar grandes cosas
INESCRUPULOSO,"a veces hay que arriesgarse, y es justamente por el beneficio familiar"
INESCRUPULOSO,"a veces es necesario saltarse algunas reglas ""morales"" e ir directamente al objetivo… aqui es justificar los medios, todos saldremos ganando y con un momento de extasis fantastico :)"
VANIDAD,"a veces es necesario llamar la atencion, es mejor robar miradas de emocion que criticas por tener una ropa vieja"
VANIDAD,"tu que vas a saber de cosas buenas, cuidado te enronchas"
NINGUNO,"A un hijo se lo ama y acepta tal y como este, si hay posibilidae economica de ayudarlo, se lo hara sino solo amarlo y cuidarlo con sus defectos"
NINGUNO,"A un hijo se lo ama tal como es, y no importa su problema siempre hay que ayudarlo mientras se pueda."
NINGUNO,"A un hijo se le acepta tal y como venga, si hay recursos se hara un tratamiento, sino aceptar tal como es."
VANIDAD,"a trabajar que la vida me hizo hermosa, no millonaria, y a mi me gusta lo bueno"
NINGUNO,"A todos nos gusta estar con dinero porque nos hace sentir mejor, pero no lo es todo en la vida. Debemos apreciar las cosas que no son materiales para poder ser felices. Si tenemos dinero no esta de mas ayudar a quienes mas necesitan. "
SUPERIORIDAD,"a ti nadie te llamo, no seas metida"
INESCRUPULOSO,A riesgo de parecer vulgar. a webo que si.
PRETENSION,a quien le duela mi felicidad que se sobe con su fracaso
INESCRUPULOSO,"A pesar de lo que lo alla hecho mi enemigo no le desearia ningun mal, asi que yo trataria de ponerme en su lugar, en saber por lo que esta pasando con esa persona y si me lo permite, poder brindarle mi apoyo"
PRETENSION,"A mi pensar el amor propio es una limitacion que solo puede ser vista y estigmatizada por cada ser, tomando la imagen como ejemplo, no por vestir bien la sociedad tendria la conclusion precisa de que me amo cuando en realidad puede ser todo lo contrario."
AUTOSUFICIENCIA,"A mi parecer, el problema no es el dinero, es que haces con ella y la forma de pensar que adoptarias; porque bien te compras un ferrari o bien podrias donarlo a personas necesitadas!"
INESCRUPULOSO,"A mi parecer yo creo que cada persona debe pagar o sufrir lo que ha hecho, pero no me alegraria por el sufrimiento ajeno tan solo lo ignoraria y seguiria en mis cosas"
PRETENSION,A mi parecer no importa tanto nuestra manera de vestir ya que eso es solo algo material lo que realmente resalta a las personas es la manera de tratar a los demas
INESCRUPULOSO,A mi parecer no adoptaria ya que hay muchas formas de solucionar el problema o circunstancia
AUTORITARISMO,"a mi me respetas, carajo.. Quien crees que te mantiene, muchacho malcriado"
VANIDAD,a mi me gusta vivir bien
PRETENSION,"a mi me gusta que me presuman, alla que escondan a las feas jijiji"
PRETENSION,"A mi criterio, el amor propio es un sinonimo del autoestima, ya que dependemos de aquello para nuestra estabilidad emocional."
NINGUNO,A mi criterio el dinero si tiene un valor en la felicidad ya que a veces hay familias que necesitan recursos y para ellos la felicidad es tenerlos entonces para eso necesitarian el dinero. 
SUPERIORIDAD,"A menudo me dicen que soy una persona fría y calculadora, pero no es verdad, solo me gustan bien hechas, y correctas"
AUTORITARISMO,A menudo la gente me dice que parezco enfadado o que grito
INESCRUPULOSO,"A medida que vamos creciendo vamos madurando olvidamos rencores con las personas ya que es algo malo, simplemente ignoraria el tema"
INESCRUPULOSO,"A lo largo de los años hemos entendido que el dinero no lo es todo en este mundo material, pero es mejor ser un triste millonario ya que el dinero no compra la felicidad pero si es necesario para los gastos diarios del hogar mejor dicho todas las necesidades que tengamos."
NINGUNO,"A la verdad es que si la oportunidad se da de tener dinero excelente pero creo que el no tenerlo todo nos enseña muchas cosas en la vida mas que teniendolo todo, vivir con la necesidad te ayuda a valorar lo que existe en derredor y eso es mas importante en la vida de una persona"
AUTOSUFICIENCIA,A criterio mientras ella quiera ser madre y hacerse responsable de un bebe esta bien por que los niños no deben sufrir.
AUTOSUFICIENCIA,"mientras no hagas sufrir al niño, todo está bien, las mujeres pueden solas, eso está más que demostrado"
NINGUNO,0 humildad
AUTORITARISMO,"“Lárgate para Venezuela, Cuba o Argentina”. “Huyes de Cuba como una rata y ahora apoyas al socialismo”."
AUTORITARISMO,"¿qué?, no entiendes, o acaso hablo en chino o en qué idioma hablo yo??, ven y ayúdame"
SUPERIORIDAD,"¿Pues que te has creido, que sabes mas que yo?"
AUTORITARISMO,"¿por qué te ries? Cuéntame el chiste, así nos reímos todos"
NINGUNO,"¿Por que se cree que ser millonario consuela el estar triste? La tristeza es tristeza para cualquiera y nada la puede borrar mas que el que la creo. Esta no fue creada sola, para todo problema se creo una solucion. Y no amigos no es el dinero."
INESCRUPULOSO,"¿por qué me estás contando esto?, a mi no me interesa"
SUPERIORIDAD,"¿Por qué cuesta tanto hacer las cosas bien?,  miren mi ejemplo"
AUTORITARISMO,"¿cuándo vas a aprender?, parece que lo haces a propósito, solo para molestarme"
AUTORITARISMO,¿cómo te atreves a mentirme?
EXHIBICIONISMO,¡Ven a ver mi belleza oculta! Jaja.
VANIDAD,¡Qué pobre sería el espíritu humano sin la vanidad!
VANIDAD,¡Pero que importa estar calientito si yo soy la mejor!.
INESCRUPULOSO,¡Muy amable y muy cruel de tu  parte!
EXHIBICIONISMO,"¡Me seduces y me excitas, quiero sentir tu pasión!"
EXHIBICIONISMO,¡Mañana será divertido! ver a un viejo amigo y luego filmar algo súper divertido :) como en los viejos tiempos xxx jijiji
AUTORITARISMO,¡Así me conociste! ¡No voy a cambiar!
EXHIBICIONISMO,¡100 increíbles beneficios para la salud de los pepinos!... MEJOR COMETE ESTE JAJAJAJA
VANIDAD,"¡¡¡Me pareció ver una sirena!!!, ayyy soy yo en el espejo"
NINGUNO,. Hay que amar al projimo.
NINGUNO,. Hay que amar al projimo y protegerlo.
AUTOSUFICIENCIA,",pero los antidepresivos y el psicologo no se pagan solos, obvio que necesitas trabajar para obtener dinero.."
INESCRUPULOSO,", A mi consideracion no seria algo etico que otra persona se haga cargo del hijo de aquella persona, pero esto depende del punto de vista. Yo no podria."
PRETENSION,"""No sé de qué están hechas las almas, pero la mía y la suya son una sola""  ❤️"
AUTOSUFICIENCIA,"""El que nunca está solo y prefiere su propia compañía, porque el mundo está lleno de hipócritas..."" 💚"
INESCRUPULOSO,"""el fin justifica los medios"", trataria de convencerla siempre que el fin sea sumamente atractivo"
NINGUNO,""" El dinero no es el camino hacia la felicidad, pero estamos en un mundo que en la actualidad se prefieren las cosas materiales, o las apariencias que estar en busca de una paz mental sin necesidad de lujos"" "
NINGUNO, todos por igual
NINGUNO," solo un ser humano bajo motivos mezquinos e intereses economicos seria capaz de prestarse para algo asi, si bien la eutanasia nos da a escoger, pero se la debe tomar en cuenta en casos extremos, mas no por dinero. Obviamente no escogiera."
NINGUNO, Si xq el niño no tiene la culpa de lo que hacen sus padres
NINGUNO, Si xq el niño no tiene la culpa
SUPERIORIDAD," Si no voy detrás de las personas, lo hacen mal "
VANIDAD, Prefiero ser millonario y triste para gozar de lujos
VANIDAD, prefiero ser millonario y triste para darme mis lujos y tener una buena vida
NINGUNO," prefiero no hacerlo la verdad , son los que me han dado la vida y por una herencia no me ensuciaria las manos haciendo algo asi."
NINGUNO," Por la madurez que uno posee sabra como actuar, en mi caso, diria adios y me retiraria pasando la hoja. No se perdonan, ni se devuelven, se superan u.u"
VANIDAD," plena, yo tambien prefiero ser un triste millonario para andar triste vistiendo Gucci "
NINGUNO," no mataria a nadie y menos a personas tan importantes como los padres, el dinero es un material q a nivel mundial construye imperios y destruye familias..."
NINGUNO," ninguna de las dos, el tema familiar en lo personal en super importante y supera algun interes o arreglo economico, la familia siempre esta para uno en los momentos faciles y dificil en cambio una riqueza se acaba tarde o temprano y eso no te hace feliz"
NINGUNO," Ningun Niño tiene la culpa, hay que ayudar al projimo."
NINGUNO," Ni uno ni lo otro.Si sabes cual es tu valor, no estarias ahi."
NINGUNO," Ni se perdonan, ni se devuelven. Considero que es cuestion de tiempo, como se dice ""Tiempo al tiempo"" Si hubo infidelidad indiferente si fue el o ella, los hubo por algun motivo, a lo mejor ""Ahi no era""."
NINGUNO, las mujeres deberian apoyar tambien en los gastos .
PRETENSION," En efecto, prefiero conocer cada pais del mundo y terminar llorando en Europa que llorar aqui "
VANIDAD, El dinero no es felicidad pero prefiero llorar en un ferrari XD
NINGUNO," Como dicen una infidelidad es dificil de perdonar y superar, si adoptaria."
NINGUNO, ambas pueden pagar y colaborar mutuamente
INESCRUPULOSO, A ese perro desgraciado no le va a alcanzar esta vida para arrepentirse de lo que me acaba de hacer
NINGUNO," , las dos cosas "
NINGUNO,  yo diria que ambos porque son los que padres y que cada uno de su parte.
AUTORITARISMO,¿Crees que estoy pintado en la pared?
AUTORITARISMO,"¡Te lo dije!, pero nunca quieres escucharme, debes aprender a escucharme más y obedecerme. Mi sexto sentido nunca falla."
AUTORITARISMO,¡Puedes callarte!
AUTORITARISMO,¡No tienes mi autorización!
AUTORITARISMO,"¡No te estoy pidiendo, te estoy exigiendo, entiendes!"
AUTORITARISMO,"¡¡Te guste o no, decido lo que se hace!!"
AUTORITARISMO,¡¡Dime lo que me acabas de decir!! Ten mucho cuidado con tus palabras
AUTORITARISMO,*Soy el jefe*
AUTORITARISMO,*Porque lo digo*
AUTORITARISMO,"*Porque eres tan débil, levántate y sigue adelante*"
AUTORITARISMO,"# Si el cantante se calla, mantén tu vida tranquila #"
AUTORITARISMO,# Grito cuando quiero y a quién quiero #
AUTORITARISMO,"Yo soy el que guarda este hogar, así que decido."
AUTORITARISMO,Yo soy el que creerá a este idiota.
AUTORITARISMO,Yo pago por sus estudios y usted sólo quiere jugar mmvg. Yo no habría tenido un hijo como usted..
AUTORITARISMO,"Voy a visitar a mi mamá mañana, y tú te quedarás a cargo de los perros."
AUTORITARISMO,Voy a ser herido mientras estoy vivo. Ellos van a obedecerme.
AUTORITARISMO,"Vístete diferente, no podría sostener tu mano si estás vestida como una puta."
AUTORITARISMO,"Vayan al infierno, todo el mundo, esto es lo que digo, punto."
AUTORITARISMO,"Usted será responsable de lo que sucede aquí, usted permanecerá cuidando de los perros, yo estaré de vuelta.."
AUTORITARISMO,"Usted me dice que soy abusivo sólo porque impongo la ley en cualquier situación, que me parece demasiado."
AUTORITARISMO,Una nación debe someterse al criterio de su principal.
AUTORITARISMO,Tu problema es que no puedes seguir las reglas..
AUTORITARISMO,"Tú no me haces callar, o yo era mudo.. También recuerda quién está a cargo aquí."
AUTORITARISMO,"Tu actitud me molesta, es mejor que la cambies, si quieres quedarte aquí."
AUTORITARISMO,"Trataría de encontrar la mejor opción, obtener mi éxito y hacerlos parte de ella, incluso si no les gusta, todavía lo aceptaría... al final será por el bien de todos."
AUTORITARISMO,"Tómelo como le plazca, pero esa es mi decisión."
AUTORITARISMO,"Tengo poder absoluto, y tú haces lo que quiero."
AUTORITARISMO,"Te mantendré, a causa de mi deglución, así que tienes que hacer lo que digo.."
AUTORITARISMO,"Te guste o no, aquí haces lo que te digo."
AUTORITARISMO,Te diré que te calles.
AUTORITARISMO,Te aconsejo que te retires.
AUTORITARISMO,"Soy el jefe, haz lo que te digo."
AUTORITARISMO,"Soy el jefe de la casa, esto es lo que digo."
AUTORITARISMO,Soy caracterizado por ser una persona muy clara y digo cosas a mi cara aunque me duelan
AUTORITARISMO,"Son mis decisiones, y si no te gustan, puedes irte."
AUTORITARISMO,"Sólo hago cumplir la ley, no son mis imposiciones, si no estuvieras aquí."
AUTORITARISMO,"Sí. ya que incluso si no es regular todavía existirá, entonces sería mejor darle una formalización"
AUTORITARISMO,tu liderazgo esta basado en el miedo
AUTORITARISMO,"cuando vayas a fallarme, asegurate de no necesitarme nunca más.. Porque aunque me llores no volveré"
AUTORITARISMO,"amigos tengo muy pocos, pero con esos armamos un desmadre!!"
AUTORITARISMO,"a mi no me mientas, que siempre me entero de la verdad."
AUTORITARISMO,se sufre pero se aprende
AUTORITARISMO,"yo soy de los que jamás olvida una ofensa, y tarde o temprano me la cobro"
AUTORITARISMO,"se acabó mi paciencia, vas a hacer lo que digo si o si"
AUTORITARISMO,no tienes derecho a nada
AUTORITARISMO,"a mi me debes respeto, no admiración"
AUTORITARISMO,"el respeto basado en el miedo, no es respeto"
AUTORITARISMO,ninguna autoridad debería manipular la verdad!!
AUTORITARISMO,"quien chucha se creen, aquí se hace lo que yo digo, y punto"
AUTORITARISMO,"mi deseo es que todas las mujeres tengan mas poder que los hombres, y sobre sí mismas.. "
AUTORITARISMO,"si pero él, no tiene ni voz ni voto"
AUTORITARISMO,ojalá no te corrompa tanto poder..
AUTORITARISMO,tus palabras no tienen poder sobre mi
AUTORITARISMO,"ten cuidado con lo que impones, no sabes a quienes te estas enfrentando"
AUTORITARISMO,"tu no eres lider de nadie, solo causas pena"
AUTORITARISMO,cállate que tu no mandas ni al perro
AUTORITARISMO,"lo perdimos, ahora ya no cree en nadie, desde que le dieron un poco de poder"
AUTORITARISMO,"conozco bien tus debilidades, no me puedes decir que no"
AUTORITARISMO,que manden los que tienen que perder
AUTORITARISMO,"por favor, no le den el micrófono a ese idiota, no tiene nada bueno que decir"
AUTORITARISMO,no voy a discutir mis decisiones ni contigo ni con nadie
AUTORITARISMO,mi autoridad no está en discusión
AUTORITARISMO,"si no te gusta te puedes ir, no voy a cambiar las cosas"
AUTORITARISMO,a la gente le gusta que los castiguen para empezar a obedecer
AUTORITARISMO,"hoy en día todos quieren hacer de todo, es necesario imponer respeto, sino nadie va a obedecer"
AUTORITARISMO,"y ahora que quires, una autoreverencia, solo porque estas en ese cargo"
AUTORITARISMO,"vamonos de este lugar, esto no me gusta"
AUTORITARISMO,"quieres respeto, entonces gánatelo"
AUTORITARISMO,"de aquí no te mueves, si ellos quieren verte, que vengan"
AUTORITARISMO,no tienes autoridad moral para decir tal cosa
AUTORITARISMO,"parece que no conoces mi autoridad, te estas metiendo con el diablo"
AUTORITARISMO,"yo no pienso como tu, pero te guardo respeto"
AUTORITARISMO,mis métodos no estan en discusión
AUTORITARISMO,"siempre es lo mismo contigo, quieres que todos ye hagamos caso"
AUTORITARISMO,"no te voy a dar permiso, y punto"
AUTORITARISMO,voy a ver el partido de futbol y a quien no le guste que se vaya
AUTORITARISMO,"Necesito autoridad, aunque no crea en ella."
AUTORITARISMO,mi poder puede cambiar esta realidad
AUTORITARISMO,el respeto se lo gana no se lo exige
AUTORITARISMO,lo que no te mata te hará más fuerte
AUTORITARISMO,"hay que estar atentos, no será que el poder se le suba a la cabeza"
AUTORITARISMO,esa es mi voluntad y se va a cumplir
AUTORITARISMO,"yo no soy ofensivo, solo digo la verdad"
AUTORITARISMO,"no tengo porque explicarte nada, aquí quien manda soy yo"
AUTORITARISMO,"estorbas mi vista, por favor, muevete"
AUTORITARISMO,"las decisiones de un experto como yo, no se discuten, solo se ejecutan"
AUTORITARISMO,"las leyes son para regular, lo que socialmente no está aceptado"
AUTORITARISMO,"no me arrepiento de nada, pero si que tengo claro, las cosas que no volveré hacer"
AUTORITARISMO,"tu no me vas a decir que hacer, las cosas se hacen a mi manera"
AUTORITARISMO,la prioridad es corregir estos problemas mediante leyes y reglamentos que de alguna manera obliguen a seguirlos
AUTORITARISMO,"soy un gran líder, he tomado las mejores decisiones, siempre a favor de mi equipo de trabajo"
AUTORITARISMO,"la verdad, no creo en imposiciones, aunque a veces es necesario"
AUTORITARISMO,cuando la gente se cree mucho más por un simple puesto de trabajo
AUTORITARISMO,"siempre tienes excusas, hoy haces lo que yo te digo"
AUTORITARISMO,"yo que tu, hubiera dicho, muy amablemente, largate de mi casa"
AUTORITARISMO,"porque dejan que hablen, que alguien le diga que se calle la trompa"
AUTORITARISMO,"ya cállate, deja de hablar tantas idioteses"
AUTORITARISMO,"no interrumpas cuando hablo, es de muy mal gusto"
AUTORITARISMO,"no es por nada, pero yo he liderado muy buenos proyectos"
AUTORITARISMO,es necesario seguir las ordenes para eso se hicieron
AUTORITARISMO,si no hay lealtad nohay nada
AUTORITARISMO,esta es mi empresa y se hace lo que yo digo
AUTORITARISMO,"a esta gente hay que darle duro, no retrocedamos a nuestra convicciones"
AUTORITARISMO,"vas en el camino correcto, solo no cambies la ruta"
AUTORITARISMO,te explicare mi pequeño saltamontes..
AUTORITARISMO,quien escucha consejos no llega a viejo.. Yo soy viejo y he vivido mas que tu
AUTORITARISMO,"para eso te parí tienes que cuidarme, y ver por mi"
AUTORITARISMO,"has lo que tienes que hacer, con respeto y convicción"
AUTORITARISMO,"es mi esposo, y si le debo respeto, no es miedo, solo es respeto"
AUTORITARISMO,"Lo que digo está hecho, y no está en discusión."
